"Locale","Image","Title","Sales Rank: Historical","Sales Rank: Current","Sales Rank: 90 days avg.","Sales Rank: Drops last 90 days","Sales Rank: Reference","Sales Rank: Subcategory Sales Ranks","Bought in past month","Reviews: Rating","Reviews: Review Count","Ratings - Format Specific","Review Count - Format Specific","Last Price Change","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Buy Box 🚚: Stock","Buy Box 🚚: 90 days OOS","Buy Box Seller","Buy Box: Is FBA","Buy Box: Unqualified","Amazon: Current","Amazon: 90 days avg.","Amazon: 90 days OOS","New: Current","New: 90 days avg.","New: 90 days OOS","New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","New, 3rd Party FBM 🚚: Current","New, 3rd Party FBM 🚚: 90 days avg.","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","Lightning Deals: Current","Lightning Deals: Upcoming Deal","Buy Box Used 🚚: Current","Buy Box Used 🚚: 90 days avg.","Buy Box Used Seller","Buy Box Used: Is FBA","Buy Box Used: Condition","Used: Current","Used: 90 days avg.","Used: 90 days OOS","Used, like new 🚚: Current","Used, like new 🚚: 90 days avg.","Used, very good 🚚: Current","Used, very good 🚚: 90 days avg.","Used, good 🚚: Current","Used, good 🚚: 90 days avg.","Used, acceptable 🚚: Current","Used, acceptable 🚚: 90 days avg.","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","List Price: Current","List Price: 90 days avg.","Rental: Current","Rental: 90 days avg.","eBay New 🚚: Current","eBay New 🚚: 90 days avg.","eBay Used 🚚: Current","eBay Used 🚚: 90 days avg.","New Offer Count: Current","New Offer Count: 90 days avg.","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","ASIN","Product Codes: EAN","Product Codes: UPC","Product Codes: PartNumber","Parent ASIN","Variation ASINs","Freq. Bought Together","Type","Manufacturer","Brand","Product Group","Model","Variation Attributes","Color","Size","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Hazardous Materials","Adult Product","Trade-In Eligible","Prime Eligible (Buy Box)","Subscribe and Save","One Time Coupon: Absolute","One Time Coupon: Percentage","Subscribe and Save Coupon: Percentage"
"com","https://m.media-amazon.com/images/I/711R2D6pCKL.jpg;https://m.media-amazon.com/images/I/7142RQ+WCKL.jpg;https://m.media-amazon.com/images/I/81mTnbKuDWL.jpg;https://m.media-amazon.com/images/I/81qIpZuBppL.jpg;https://m.media-amazon.com/images/I/71+EgJgCnKL.jpg;https://m.media-amazon.com/images/I/71URFzEKbKL.jpg;https://m.media-amazon.com/images/I/712b2O94yKL.jpg;https://m.media-amazon.com/images/I/813ZpN-bO6L.jpg","Bronson Vitamin A 10,000 IU Premium Non-GMO Formula Supports Healthy Vision & Immune System and Healthy Growth & Reproduction, 250 Softgels","2319","2210","2310","281","Health & Household","# 1 | Top 0.23% | Vitamin A Supplements","9000","4.7","18715","18484","815","2024/01/25 08:08","$ 9.97","$ 9.97","99","0 %","3rd Party (A2J4ZY0V0O83WY)","yes","no","","","100 %","$ 9.97","$ 9.97","0 %","$ 9.97","$ 9.97","$ 3.09","8.02 %","$ 0.80","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 14.99","","","$ 10.00","$ 12.20","","","1","1","1","0","","","2014/04/30","2007/06/26","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B0006ZUS92","0716563024024","716563024024","24B","B0BT8G4RH3","B0BT3CPN6G,B0006ZUS92,B0BT3FFCCK","B000GCQ8X0, B0019GE9HE","VITAMIN","Bronson Labs","Bronson","Drugstore","","Size: 250 Count (Pack of 1);","","250 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","221","82","1","295","82","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/511ijsPtftL.jpg;https://m.media-amazon.com/images/I/61ynIB8NknL.jpg;https://m.media-amazon.com/images/I/61RGKsaMB0L.jpg;https://m.media-amazon.com/images/I/71IPC5d0Y7L.jpg;https://m.media-amazon.com/images/I/61qqNBv82UL.jpg;https://m.media-amazon.com/images/I/61kEWxmeaGL.jpg;https://m.media-amazon.com/images/I/61+MNXtIeWL.jpg;https://m.media-amazon.com/images/I/613Mg1GIgPL.jpg","NOW Supplements, Vitamin A 10,000 IU, Eye Health*, Essential Nutrition, 100 Softgels","5542","4192","5448","243","Health & Household","# 2 | Top 0.45% | Vitamin A Supplements","6000","4.7","1366","-1","-1","2024/02/18 01:50","$ 4.88","$ 4.64","3","0 %","Amazon","yes","no","$ 4.88","$ 4.64","0 %","$ 4.88","$ 4.64","0 %","","","$ 3.09","7.99 %","$ 0.39","$ 7.90","$ 7.23","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 7.99","$ 7.99","","","","","","","5","6","1","4","","","2013/09/30","2007/02/02","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B001F0R9G2","0733739003300","733739003300","","","","B009K6TN08, B001AIXCU6","VITAMIN","NOW Sports - Nutrition and Wellness","NOW","Drugstore","","","Yellow","100 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","164","41","6","","41","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71+A1pNv-AL.jpg;https://m.media-amazon.com/images/I/81oQfVzq5RS.jpg;https://m.media-amazon.com/images/I/71c03umZgGL.jpg;https://m.media-amazon.com/images/I/81bs5jlKD8L.jpg;https://m.media-amazon.com/images/I/81Tfl0YVlzS.jpg;https://m.media-amazon.com/images/I/81q+o3nJaUS.jpg;https://m.media-amazon.com/images/I/81GRH69QQwS.jpg;https://m.media-amazon.com/images/I/81EvnwitbbS.jpg","Pure Encapsulations Vitamin A 10,000 IU from Cod Liver Oil | Supports Immune and Cellular Health, Vision, Bones, Skin, and Reproductive Function* | 120 Softgel Capsules","8596","9164","8136","258","Health & Household","# 885 | Top 0.44% | Diet & Sports Nutrition; # 3 | Top 0.68% | Vitamin A Supplements","3000","4.7","2893","2157","165","2024/02/24 12:36","$ 11.60","$ 11.60","1000","0 %","3rd Party (A2EJCTH67GJMT3)","yes","no","","","100 %","$ 11.60","$ 11.60","0 %","$ 11.60","$ 11.60","$ 3.86","15 %","$ 1.74","$ 25.90","$ 25.90","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 11.60","","","","","","","2","2","1","1","","","2013/09/08","2011/01/06","Health & Household","Diet & Sports Nutrition, Vitamin A","Health & Household › Diet & Sports Nutrition","no","B004JWY2YA","0766298013336","766298013336","VAC1","","","B00083B1DY, B000H85L5Y","VITAMIN","Pure Encapsulations","Pure Encapsulations","Drugstore","VAC1","","","120 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","231","50","1","231","41","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/41632FER8zL.jpg;https://m.media-amazon.com/images/I/51Nhfu2wtFL.jpg;https://m.media-amazon.com/images/I/51onzJYyp7L.jpg;https://m.media-amazon.com/images/I/41vLOfRreuL.jpg;https://m.media-amazon.com/images/I/41GkSqMBF+L.jpg;https://m.media-amazon.com/images/I/51xvygNuy6L.jpg;https://m.media-amazon.com/images/I/51VWjgRCPiL.jpg;https://m.media-amazon.com/images/I/51voPGuHWDL.jpg","Solgar Dry Vitamin A 1500 mcg (5000 IU), 100 Tablets - Supports Healthy Eyes, Skin & Immune System - Non-GMO, Vegan, Gluten Free, Dairy Free, Kosher - 100 Servings","9348","35130","19535","165","Health & Household","# 15 | Top 4% | Vitamin A Supplements","500","4.7","2852","-1","-1","2024/02/25 14:36","","$ 9.76","","39 %","","no","no","","$ 9.37","43 %","","$ 10.84","26 %","","$ 10.97","$ 4.08","14.96 %","-","","$ 12.91","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 10.39","","","$ 10.00","$ 8.64","","","","5","","","","","2013/10/21","2006/02/07","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B000VZ1D6Y","0033984028203","033984028203","30240","","","B0001VURB0, B000GCQ8X0","VITAMIN","NPG Solgar","SOLGAR","Drugstore","30240","","","100 Count (Pack of 1)","","","","","Health and Beauty","1","","2013-09-24","2013-09-21","English: Published; English: Manual","360","130","1","166","113","","no","no","no","no","-","-","-"
"com","https://m.media-amazon.com/images/I/41z3slcaYqL.jpg;https://m.media-amazon.com/images/I/41gseMHfZnL.jpg;https://m.media-amazon.com/images/I/41fmwkWoWKL.jpg;https://m.media-amazon.com/images/I/41gaOB1LVUL.jpg;https://m.media-amazon.com/images/I/41LQ0E6WqzL.jpg","NOW Supplements, Vitamin A (Fish Liver Oil) 25,000 IU, Essential Nutrition, 250 Softgels","10476","9701","8182","231","Health & Household","# 4 | Top 0.91% | Vitamin A Supplements","1000","4.7","7371","5413","518","2024/02/25 01:30","$ 12.82","$ 11.82","36","1 %","Amazon","yes","no","$ 12.82","$ 11.82","0 %","$ 12.81","$ 11.69","0 %","$ 12.99","$ 13.64","$ 4.08","14.99 %","$ 1.92","$ 12.81","$ 12.97","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 21.99","$ 21.99","","","$ 8.99","$ 8.99","","","15","13","3","12","","","2011/04/10","2006/01/07","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B001B4P0I6","0733739003423","733739003423","0342","B0BNGRK6T1","B00081KB2I,B001B4P0I6,B00LEVVKW6","B000GCQ8X0, B0032BH76O","VITAMIN","NOW Sports - Nutrition and Wellness","NOW","Drugstore","0342","Size: 250 Count (Pack of 1);","Caramel","250 Count (Pack of 1)","","","","","Health and Beauty","1","","2010-12-10","2015-03-19","French","377","141","1","463","91","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71knvv8fF+L.jpg;https://m.media-amazon.com/images/I/71QVRV5bG9L.jpg;https://m.media-amazon.com/images/I/71lvuCmKgQL.jpg;https://m.media-amazon.com/images/I/51W4s95aUIL.jpg","Puritan's Pride Beta Carotene for Immune and Eye Health to Support a Healthy Immune System 100 Softgels","13432","11560","20310","178","Health & Household","# 5 | Top 1.59% | Vitamin A Supplements","1000","4.6","2626","2626","170","2024/02/20 03:04","$ 5.32","$ 7.16","","3 %","Amazon","yes","no","$ 5.32","$ 7.13","3 %","$ 5.05","$ 7.26","0 %","$ 5.32","$ 9.87","$ 3.09","8.08 %","$ 0.43","$ 5.05","$ 12.19","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 5.32","","","$ 8.35","$ 9.72","","","7","5","5","2","","","2014/05/27","2011/03/07","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B004R63IAW","0074312112201","074312112201","1220","B0CCW8TGFQ","B004R63IAW","B004R68J1K, B000GCQ8X0","NUTRITIONAL_SUPPLEMENT","NBTY.inc - US Nutrition,inc.","Puritan's Pride","Drugstore","B-6","Size: 100 Count (Pack of 1);","","100 Count (Pack of 1)","","","","","Health and Beauty","1","","2018-08-10","2018-08-10","","157","50","1","226","40","United Nations Regulatory Id: N.V.T.;","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/61QeDtuDG3L.jpg;https://m.media-amazon.com/images/I/61S9L4ivpCL.jpg;https://m.media-amazon.com/images/I/71xVuLezUrL.jpg;https://m.media-amazon.com/images/I/61izRWrGNoL.jpg;https://m.media-amazon.com/images/I/81+cahTifqL.jpg","Standard Process Catalyn - Whole Food Foundational Support for General Wellbeing with Vitamin D, Vitamin C, Vitamin A, Thiamine, Riboflavin, Vitamin B6, Magnesium Citrate, and More - 90 Tablets","16622","16858","18517","108","Health & Household","# 7 | Top 1.59% | Vitamin A Supplements","400","4.7","1683","591","90","2024/01/12 19:48","$ 19.22","$ 19.19","658","0 %","3rd Party (A2EJCTH67GJMT3)","yes","no","","","100 %","$ 19.22","$ 19.16","0 %","$ 19.22","$ 19.22","$ 3.86","14.98 %","$ 2.88","","$ 16.08","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 19.22","","","","","","","1","1","1","0","","","2011/04/10","2001/10/01","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B002QWEGI2","0812122010443","812122010443","2140","B08KSFVVS1","B002QWEGI2,B0006IID64","B00I07Y1HS, B0019FQTHI","NUTRITIONAL_SUPPLEMENT","Standard Process","Standard Process Inc.","Drugstore","","Size: 90 Count (Pack of 1);","","90 Count (Pack of 1)","","","","","Health and Beauty","1","","","","","399","113","1","","113","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/61zyGs8d0bL.jpg;https://m.media-amazon.com/images/I/A11jTJUqnzL.jpg;https://m.media-amazon.com/images/I/71EcV+os-DL.jpg;https://m.media-amazon.com/images/I/A1ldzK4fyNL.jpg;https://m.media-amazon.com/images/I/A1k4yDXEmxL.jpg;https://m.media-amazon.com/images/I/A1vVLJGz79L.jpg","DEAL SUPPLEMENT High Potency Vitamin A 25000 IU, 500 Coconut Oil Softgels | Easily Absorbed, Natural Fish Liver Oil Source – Vitamins for Eye, Immune, & Skin Health – Easy to Swallow, Non-GMO","18338","30165","31818","177","Health & Household","# 14 | Top 3% | Vitamin A Supplements","700","4.7","548","-1","-1","2023/12/10 11:28","$ 16.95","$ 16.95","1000","1 %","3rd Party (AQZ1IMSKWJKJS)","yes","no","","","100 %","$ 16.95","$ 16.95","1 %","$ 16.95","$ 16.95","$ 4.08","14.99 %","$ 2.54","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 32.99","","","","","","","1","1","1","0","","","2023/01/30","2022/10/26","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B0BKR14XL3","0850034253251","850034253251","DS-VA25000","","","","VITAMIN","deal supplement","DEAL SUPPLEMENT","Drugstore","","","","500 Count (Pack of 1)","","","","","","1","","","","","460","159","565","","159","","no","no","yes","yes","-","-","10 %"
"com","https://m.media-amazon.com/images/I/41wXTN7KpJL.jpg;https://m.media-amazon.com/images/I/511FTnqGO+L.jpg;https://m.media-amazon.com/images/I/51LZEd0836L.jpg;https://m.media-amazon.com/images/I/61zL4s047mL.jpg;https://m.media-amazon.com/images/I/318uqhDFfhL.jpg;https://m.media-amazon.com/images/I/41oSmvZro+L.jpg","Nature's Way Vitamin A, 3,000 mcg per serving, 100 Softgels","20253","19812","17756","143","Health & Household","# 9 | Top 1.59% | Vitamin A Supplements","1000","4.7","2254","1725","177","2024/02/12 01:00","$ 5.48","$ 4.72","36","0 %","Amazon","yes","no","$ 5.48","$ 4.72","0 %","$ 5.48","$ 4.72","0 %","","","$ 3.09","8.03 %","$ 0.44","$ 13.99","$ 13.62","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 9.49","$ 9.49","","","","","","","2","2","1","1","","","2013/09/30","2006/01/07","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B00015XC1I","6935743191255, 5060448772179, 0033674401101, 9549047443100, 6220171998584","033674401101","40110","","","B000GCQ8X0, B000GG87V2","VITAMIN","Nature's Way","Nature's Way","Drugstore","40110","","","100 Count (Pack of 1)","","","","","Health and Beauty","1","","2014-10-06","2014-10-03","English","198","60","1","184","54","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71J8ySks6+L.jpg;https://m.media-amazon.com/images/I/91fxE20LYqL.jpg;https://m.media-amazon.com/images/I/81EhZvflqsL.jpg;https://m.media-amazon.com/images/I/91znJPgVkuL.jpg;https://m.media-amazon.com/images/I/91HBkhtM4BL.jpg;https://m.media-amazon.com/images/I/81TULtuPjiL.jpg","Why Not Natural Vitamin A Drops 10000 IU - Liquid retinyl Palmitate with Coconut MCT Oil, Vegan micellized VIT A Supplement for Skin, Eyes, Acne - 1 oz sublingual Tincture","20579","17143","20288","159","Health & Household","# 8 | Top 1.59% | Vitamin A Supplements","1000","4.6","593","-1","-1","2024/02/22 06:12","$ 18.97","$ 18.97","3","1 %","3rd Party (AJAN1XNG9UM68)","yes","no","","","100 %","$ 18.97","$ 18.97","1 %","$ 18.97","$ 18.97","$ 3.86","15.02 %","$ 2.85","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 24.97","","","","","","","1","1","1","0","","","2022/02/22","2022/02/22","Health & Household","Vitamin A","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin A","no","B09M99XBHM","0850037632008","850037632008","2523","","","","VITAMIN","Why Not Natural","Why Not Natural","Drugstore","","","","1 Fl Oz (Pack of 1)","","","","","","1","","","","","221","91","0","","57","","no","no","yes","yes","-","-","5 %"
