"Locale","Image","Title","Sales Rank: Current","Sales Rank: 90 days avg.","Sales Rank: Drops last 90 days","Sales Rank: Reference","Sales Rank: Subcategory Sales Ranks","Bought in past month","Reviews: Rating","Reviews: Review Count","Ratings - Format Specific","Review Count - Format Specific","Last Price Change","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Buy Box 🚚: Stock","Buy Box 🚚: 90 days OOS","Buy Box Seller","Buy Box: Is FBA","Buy Box: Unqualified","Amazon: Current","Amazon: 90 days avg.","Amazon: 90 days OOS","New: Current","New: 90 days avg.","New: 90 days OOS","New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","New, 3rd Party FBM 🚚: Current","New, 3rd Party FBM 🚚: 90 days avg.","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","Lightning Deals: Current","Lightning Deals: Upcoming Deal","Buy Box Used 🚚: Current","Buy Box Used 🚚: 90 days avg.","Buy Box Used Seller","Buy Box Used: Is FBA","Buy Box Used: Condition","Used: Current","Used: 90 days avg.","Used: 90 days OOS","Used, like new 🚚: Current","Used, like new 🚚: 90 days avg.","Used, very good 🚚: Current","Used, very good 🚚: 90 days avg.","Used, good 🚚: Current","Used, good 🚚: 90 days avg.","Used, acceptable 🚚: Current","Used, acceptable 🚚: 90 days avg.","Warehouse Deals: Current","Warehouse Deals: 90 days avg.","List Price: Current","List Price: 90 days avg.","Rental: Current","Rental: 90 days avg.","eBay New 🚚: Current","eBay New 🚚: 90 days avg.","eBay Used 🚚: Current","eBay Used 🚚: 90 days avg.","New Offer Count: Current","New Offer Count: 90 days avg.","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Used Offer Count: Current","Used Offer Count: 90 days avg.","Tracking since","Listed since","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","ASIN","Product Codes: EAN","Product Codes: UPC","Product Codes: PartNumber","Parent ASIN","Variation ASINs","Freq. Bought Together","Type","Manufacturer","Brand","Product Group","Model","Variation Attributes","Color","Size","Edition","Format","Author","Contributors","Binding","Number of Items","Number of Pages","Publication Date","Release Date","Languages","Package: Dimension (cm³)","Package: Weight (g)","Package: Quantity","Item: Dimension (cm³)","Item: Weight (g)","Hazardous Materials","Adult Product","Trade-In Eligible","Prime Eligible (Buy Box)","Subscribe and Save","One Time Coupon: Absolute","One Time Coupon: Percentage","Subscribe and Save Coupon: Percentage"
"com","https://m.media-amazon.com/images/I/91-WPRNTCNL.jpg","Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vitamins and Electrolytes, Super Orange Flavor - 60 Count/2 Month Supply","158","126","260","Health & Household","# 1 | Top 0.01% | Vitamin C Supplements","100","4.8","85001","929","52","2024/02/22 14:20","$ 22.35","$ 20.25","19","55 %","3rd Party (A3LPQUTZWP4GQG)","yes","no","","","100 %","$ 13.69","$ 23.21","0 %","$ 20.59","$ 24.62","$ 5.75","15.01 %","$ 3.35","$ 20.59","$ 26.49","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 18.99","","","","","","","9","8","2","7","","","2018/01/21","2021/05/22","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B0795WCMJX","","","76314302130","B0CMFLVXWL","B00016RL9G,B0CTKTLGR1,B0046CD3IO,B0009RF8KG,B0795YGP1V,B0795WCMJX,B0CSYMQQF6,B002HWRY8A,B0078J6NVQ,B0BDT27DL2,B0CSD5B1MD,B00PKHG7NM,B0CSCVTW3F,B0025PXCIA","B00016RL9G, B074PY7RBK","VITAMIN","Haleon US Services Inc.","Emergen-C","Drugstore","76314302130","FlavorName: Orange; Size: 19.20 Ounce (Pack of 1);","","19.20 Ounce (Pack of 1)","","","","","Health and Beauty","1","","","","","2199","737","1","","546","Proper Shipping Name: auto-grounding; Transportation Regulatory Class: 3; Exception: AE_NoAir, AU_NoAir, BE_NoAir, BR_NoAir, CA_NoAir, CN_NoAir, DE_NoAir, EG_NoAir, ES_NoAir, FR_NoAir, GB_NoAir, IN_NoAir, IT_NoAir, JP_NoAir, MX_NoAir, NL_NoAir, PL_NoAir, SA_NoAir, SE_NoAir, SG_NoAir, TR_NoAir, US_NoAir;","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/71Tv8zNXWOL.jpg;https://m.media-amazon.com/images/I/816W-4Fk-uL.jpg;https://m.media-amazon.com/images/I/91r9ILXRLML.jpg;https://m.media-amazon.com/images/I/91AmY0PFroL.jpg;https://m.media-amazon.com/images/I/9197hiTDuqL.jpg;https://m.media-amazon.com/images/I/71Fc+gj424L.jpg;https://m.media-amazon.com/images/I/71HpVLNyfXL.jpg;https://m.media-amazon.com/images/I/71jLxmzM9NL.jpg","Airborne Vitamin C 1000mg (per serving) - Citrus Chewable Tablets (64 count in a box), Gluten-Free Immune Support Supplement With Vitamins A C E, ZINC, Selenium, Echinacea, Ginger, Antioxidants","383","60781","208","Health & Household","# 2 | Top 0.04% | Vitamin C Supplements","50","4.7","39229","687","70","2024/02/20 09:08","","$ 12.51","","64 %","","no","yes","","","100 %","$ 13.83","$ 13.12","0 %","","$ 13.10","$ 4.08","14.97 %","-","$ 13.99","$ 13.67","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 12.99","","","$ 12.99","$ 10.66","","","9","10","0","9","","","2016/10/11","2013/08/09","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B00EFNL2YG","0647865186311","647865186311","432A","B0CR817L1C","B00EEEOL08,B002H0KYRA,B071HR2MYB,B071F1F9DW,B0096YRSVA,B000WZI4WY,B0096YTCFK,B0BYB8CFZJ,B00EFNL2YG,B08QZMJBFR,B07TXZV9DS","B07VNNZSR6, B07VRZCDLB","NUTRITIONAL_SUPPLEMENT","Airborne","Airborne","Drugstore","432A","FlavorName: Citrus; Size: 64 Count (Pack of 1);","S","64 Count (Pack of 1)","","","","","Health and Beauty","1","","","2013-08-01","","998","141","1","534","14","","no","no","no","no","-","-","-"
"com","https://m.media-amazon.com/images/I/41jvAVJ4a5L.jpg;https://m.media-amazon.com/images/I/515Fwr7GkIL.jpg;https://m.media-amazon.com/images/I/51wnF4m2OmL.jpg;https://m.media-amazon.com/images/I/51oxPk+6qHL.jpg;https://m.media-amazon.com/images/I/51VYX4OS85L.jpg;https://m.media-amazon.com/images/I/51ByD4zwUPL.jpg;https://m.media-amazon.com/images/I/51FKPBkn4RL.jpg","Emergen-C Immune+ Triple Action Immune Support Powder & 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese","539","582","88","Health & Household","# 3 | Top 0.03% | Vitamin C Supplements","","4.8","34816","1755","1755","2024/02/22 12:52","$ 27.97","$ 26.31","","1 %","Amazon","yes","no","$ 27.97","$ 26.31","0 %","$ 27.97","$ 26.31","0 %","","","-","","-","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 28.10","","","","","","","1","1","1","0","","","2024/01/18","2024/01/14","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B0CSCVXQ6D","","","","B0BRG4CM48","B00NNR38JC,B0CSCY7526,B00ND99HY0,B0CSCVXQ6D,B0CSD82XVK","","NUTRITIONAL_SUPPLEMENT","","Emergen-C","Drugstore","","FlavorName: Orange; PatternName: Powder + Vitamin C Powder Orange;","","","","","","","Product Bundle","","","","","","","","","","","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/51ZZ8+mS2zL.jpg;https://m.media-amazon.com/images/I/61VqmPGCrNL.jpg;https://m.media-amazon.com/images/I/61c-nvf-lgL.jpg","Amazon Basics Vitamin C 250 mg Gummy, Orange, 150 Gummies (2 per Serving), Immune Health (Previously Solimo)","914","995","294","Health & Household","# 4 | Top 0.05% | Vitamin C Supplements","10000","4.7","19996","17022","1034","2024/02/03 17:52","$ 9.58","$ 9.45","45475","0 %","Amazon","yes","no","$ 9.58","$ 9.45","0 %","$ 9.58","$ 9.45","0 %","","","$ 4.42","8.04 %","$ 0.77","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 9.49","","","","","","","1","1","1","0","","","2018/05/20","2018/05/16","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B07BBMND7W","0195515033411","195515033411","B07BBMND7W","B0BVF45CKT","B07BBMND7W,B07BZL9748","B07BBNNHRX, B07JGW2JKF","VITAMIN","Amazon.com Services LLC.","Amazon Basics","Drugstore","B07BBMND7W","Size: 150 Count (Pack of 1);","","150 Count (Pack of 1)","","","","","Health and Beauty","1","","","2018-05-17","","1024","472","1","1024","440","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/81zb2hekt2L.jpg;https://m.media-amazon.com/images/I/71OVBZXkRiL.jpg;https://m.media-amazon.com/images/I/81Gc7GQ5auL.jpg;https://m.media-amazon.com/images/I/71Al7B0-t4L.jpg;https://m.media-amazon.com/images/I/71E18w-O64L.jpg;https://m.media-amazon.com/images/I/71NFfeKPKSL.jpg","Emergen-C Super Orange Vitamin C - 30 Count (Pack of 4) (Packaging may vary)","928","27707","188","Health & Household","# 5 | Top 0.06% | Vitamin C Supplements","50","4.8","33488","128","46","2024/02/22 11:16","$ 47.99","$ 47.21","5","0 %","3rd Party (A1G3EZFU061O3I)","no","no","","","100 %","$ 47.99","$ 47.13","0 %","","$ 50.00","$ 7.41","15 %","$ 7.20","$ 47.99","$ 47.21","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 16.19","","","","","","","14","16","0","14","","","2015/10/07","2007/02/02","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B001UP2XJK","","","1339571","B0CF56FRDG","B00NNOV1US,B001UP2XJK,B004L56DT2","B000GCQ8X0, B005UOF4VQ","VITAMIN","Alacer","Emergen-C","Drugstore","1339571","FlavorName: Orange; Size: 30 Count (Pack of 4);","","30 Count (Pack of 4)","","","","","Health and Beauty","4","","","","","7584","1370","1","16","1055","","no","no","no","no","-","-","-"
"com","https://m.media-amazon.com/images/I/71fHpn+JnuL.jpg;https://m.media-amazon.com/images/I/71I6E+OkoJL.jpg;https://m.media-amazon.com/images/I/81eRwlntiPL.jpg;https://m.media-amazon.com/images/I/71vvau20yVL.jpg;https://m.media-amazon.com/images/I/61XnXWnpzeL.jpg;https://m.media-amazon.com/images/I/817sXPV72ML.jpg;https://m.media-amazon.com/images/I/71ljZaOmFgL.jpg;https://m.media-amazon.com/images/I/618Q0kPygpL.jpg","Nature Made Extra Strength Dosage Chewable Vitamin C 1000 mg per serving, Dietary Supplement for Immune Support, 90 Tablets, 45 Day Supply","1163","926","295","Health & Household","# 6 | Top 0.04% | Vitamin C Supplements","20000","4.7","12138","12130","573","2024/02/22 15:24","$ 7.49","$ 7.81","","1 %","Amazon","yes","no","$ 7.49","$ 7.81","1 %","$ 7.49","$ 7.74","0 %","","$ 11.34","$ 3.31","8.01 %","$ 0.60","$ 15.34","$ 15.38","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 15.89","$ 15.89","","","","","","","27","24","1","20","","","2020/08/31","2020/08/06","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B08FNG91XM","0031604040222","031604040222","4022","B0CQWD6SDQ","B08FNG91XM","B000GCQ8X0, B008GC9T6A","VITAMIN","Pharmavite","Nature Made","Drugstore","4022","FlavorName: Orange; Size: 90 Count;","","90 Count","","","","","Health and Beauty","1","","2020-08-07","2020-08-07","","619","231","1","771","231","","no","no","yes","no","-","-","-"
"com","https://m.media-amazon.com/images/I/51BNNSjwgoL.jpg;https://m.media-amazon.com/images/I/51BoryIbYSL.jpg;https://m.media-amazon.com/images/I/51lXCyKXJ0L.jpg;https://m.media-amazon.com/images/I/51q87yLS66L.jpg;https://m.media-amazon.com/images/I/51JD5W-GRjL.jpg;https://m.media-amazon.com/images/I/518Wb9wtaeL.jpg;https://m.media-amazon.com/images/I/51o-tgAyxDL.jpg;https://m.media-amazon.com/images/I/31FXVxhP5VL.jpg","Airborne 750mg Vitamin C Gummies For Adults, Immune Support Gummies With Powerful Antioxidants Vit C & E, Caffeine Free - 2x63ct Bottle (42 Servings), Assorted Fruit Flavor","1303","1861","299","Health & Household","# 7 | Top 0.16% | Vitamin C Supplements","9000","4.6","8812","8809","554","2024/02/22 13:40","$ 30.61","$ 34.84","","2 %","Amazon","yes","no","$ 30.61","$ 34.81","5 %","$ 29.99","$ 32.57","0 %","$ 34.99","$ 40.52","$ 6.10","15 %","$ 4.59","$ 29.99","$ 34.31","","","","no","","","","no","","","","100 %","","","","","","","","","","","$ 34.99","$ 34.99","","","","","","","13","15","2","11","","","2022/04/26","2020/09/14","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B08G9JLJ1Y","0647865995647","647865995647","4645","B0BRSVM7X4","B08G9JLJ1Y","","VITAMIN","Reckitt Benckiser","Airborne","Drugstore","","Style: 2x63ct Assorted Fruit Gummies;","Assorted","63 Count (Pack of 2)","","","","","Health and Beauty","2","","2020-09-15","2020-09-15","","3387","989","1","1935","826","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/41VBpZ2mVNL.jpg;https://m.media-amazon.com/images/I/41Ig9SAeBIL.jpg;https://m.media-amazon.com/images/I/41CGzI5Bx9L.jpg;https://m.media-amazon.com/images/I/51RmMuN7rnL.jpg;https://m.media-amazon.com/images/I/51PKTZONTrL.jpg;https://m.media-amazon.com/images/I/41jCSVuzmHL.jpg","Lypo–Spheric Vitamin C – 1,000 mg Vitamin C & 1,000 mg Essential Phospholipids Per Packet – Liposome Encapsulated for Improved Absorption – 100% Non–GMO, 1 Carton, 0.2 Fl Oz (Pack of 30)","1318","5587","267","Health & Household","# 8 | Top 0.06% | Vitamin C Supplements","1000","4.7","14750","787","93","2023/10/07 14:16","$ 42.95","$ 42.95","1000","0 %","3rd Party (A3077ZB2LWZZWN)","yes","no","","","100 %","$ 42.95","$ 42.95","0 %","$ 42.95","$ 42.95","$ 4.32","14.99 %","$ 6.44","","","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 46.95","","","","","","","1","1","1","0","","","2018/10/27","2016/04/28","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B01AE60A3G","4373546899091","","Aster-lypo-spheric vitamin c","B0CK2RJYSJ","B000CD9XGC,B00CNW6S36,B00GJ12AF2,B01AE60A3G,B0089EYWEE,B00DH30638","B00KTK293C, B07MTSP62S","VITAMIN","ASTERVEDA","LivOn Laboratories","Drugstore","","FlavorName: Unflavored; Size: 6 Fl Oz (Pack of 1);","","6 Fl Oz (Pack of 1)","","","","","","1","","","","","701","240","1","720","240","","no","no","yes","yes","-","-","5 %"
"com","https://m.media-amazon.com/images/I/71v78EwdRRL.jpg;https://m.media-amazon.com/images/I/718eBrOgoYL.jpg;https://m.media-amazon.com/images/I/71E+f7dIwOL.jpg;https://m.media-amazon.com/images/I/71ucDILqKCL.jpg;https://m.media-amazon.com/images/I/71l5BQXJqEL.jpg;https://m.media-amazon.com/images/I/918TWUcC94L.jpg;https://m.media-amazon.com/images/I/81cXyf0uqFL.jpg;https://m.media-amazon.com/images/I/71KyqT9kn6L.jpg","MaryRuth Organics Toddler Vitamin C Drops | USDA Organic Vitamin C Liquid Drops for Toddler | Ages 1-3 Years | Vitamin for Immune Support & Overall Health | Vegan | Non-GMO | Gluten Free | 30 Servings","1606","1434","300","Health & Household","# 10 | Top 0.07% | Vitamin C Supplements","6000","4.7","6870","2072","109","2024/02/22 14:02","$ 21.89","$ 20.39","","50 %","3rd Party (A17PL5M6VJYRYO)","yes","no","","","100 %","$ 21.89","$ 21.37","0 %","$ 21.89","$ 21.33","$ 3.86","14.99 %","$ 3.28","$ 21.95","$ 25.32","","","","no","","","","no","","","","100 %","","","","","","","","","","","","$ 22.54","","","$ 12.99","$ 17.62","","","8","3","6","2","","","2020/07/14","2020/04/20","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B087DRSXBG","0850018471312","850018471312","2","B0CMVJJKDW","B087F8TMX5,B0BLRL22L6,B087F3N9HK,B08TC8J6DL,B087DRSXBG","B07P3H2VH1, B086V9K5F7","VITAMIN","Mary Ruth's","MaryRuth Organics","Drugstore","0850018471312","Style: Toddler;","","1 Fl Oz (Pack of 1)","","","","","Health and Beauty","1","","","","","223","91","1","162","95","","no","no","yes","no","-","-","10 %"
"com","https://m.media-amazon.com/images/I/51ZcsOnxwQL.jpg;https://m.media-amazon.com/images/I/51nuvn-bSRL.jpg;https://m.media-amazon.com/images/I/51juCaDIZfL.jpg;https://m.media-amazon.com/images/I/51JrukcN9sL.jpg;https://m.media-amazon.com/images/I/61cydNyv76L.jpg;https://m.media-amazon.com/images/I/51iQ4gq9r4L.jpg;https://m.media-amazon.com/images/I/51C+6HACTNL.jpg","Emergen-C Immune+ Triple Action Immune Support Powder, BetaVia (R), 1000mg Vitamin C, B Vitamins, Vitamin D and Antioxidants, Super Orange – 50 Count","1614","2181","227","Health & Household","# 11 | Top 0.1% | Vitamin C Supplements","10000","4.8","5541","5504","338","2024/02/17 01:00","$ 21.99","$ 22.02","1000","0 %","Amazon","yes","no","$ 21.99","$ 22.03","0 %","$ 21.99","$ 21.88","0 %","","","$ 5.57","15.01 %","$ 3.30","$ 28.99","$ 27.54","","","","no","","","","no","","","","100 %","","","","","","","","","","$ 11.03","","$ 21.79","","","","","","","9","9","1","8","","","2021/04/12","2018/07/05","Health & Household","Vitamin C","Health & Household › Vitamins, Minerals & Supplements › Vitamins › Vitamin C","no","B07CWCCS4V","0885898000444, 0885898333467","885898000444, 885898333467","885898000444","","","B00016RL9G, B00NNR38JC","VITAMIN","Haleon US Services Inc.","Emergen-C","Drugstore","885898000444","","Super Orange","0.33 Ounce (Pack of 50)","","","","","Health and Beauty","50","","2018-09-01","2018-09-01","","1785","608","1","1697","468","","no","no","yes","yes","-","-","5 %"
